Pilot;Field Name;Field Description;Field Longitude;Field Latitude;Device ID;Device Description;Device Type;Device EUI;Property Key;Property Name;Property Description;Unit Of Measurement;Unit Of Measurement Symbol;Datastream Name;Datastream Description
Italy;;Sensors owned by UNISS;;;I008;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E2CB;soil_temperature_6;Soil Temperature;The measure of temperature of the soil;Degrees Celsius;�C;_I008_soil_temperature_6;The datastream containing mesures of field  by sensor I008 which measures Soil Temperature.
Italy;;Sensors owned by UNISS;;;I009;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E240;soil_moisture_1;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;_I009_soil_moisture_1;The datastream containing mesures of field  by sensor I009 which measures Soil Moisture.
Italy;;Sensors owned by UNISS;;;I009;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E240;soil_moisture_2;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;_I009_soil_moisture_2;The datastream containing mesures of field  by sensor I009 which measures Soil Moisture.
Italy;;Sensors owned by UNISS;;;I009;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E240;soil_moisture_3;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;_I009_soil_moisture_3;The datastream containing mesures of field  by sensor I009 which measures Soil Moisture.
Italy;;Sensors owned by UNISS;;;I009;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E240;soil_moisture_4;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;_I009_soil_moisture_4;The datastream containing mesures of field  by sensor I009 which measures Soil Moisture.
Italy;;Sensors owned by UNISS;;;I009;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E240;soil_moisture_5;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;_I009_soil_moisture_5;The datastream containing mesures of field  by sensor I009 which measures Soil Moisture.
Italy;;Sensors owned by UNISS;;;I009;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E240;soil_moisture_6;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;_I009_soil_moisture_6;The datastream containing mesures of field  by sensor I009 which measures Soil Moisture.
Italy;;Sensors owned by UNISS;;;I009;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E240;ambient_temperature;Air Temperature;The measure of the hotness or coldness of the air.;Degrees Celsius;�C;_I009_ambient_temperature;The datastream containing mesures of field  by sensor I009 which measures Air Temperature.
Italy;;Sensors owned by UNISS;;;I009;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E240;soil_temperature_1;Soil Temperature;The measure of temperature of the soil;Degrees Celsius;�C;_I009_soil_temperature_1;The datastream containing mesures of field  by sensor I009 which measures Soil Temperature.
Italy;;Sensors owned by UNISS;;;I009;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E240;soil_temperature_2;Soil Temperature;The measure of temperature of the soil;Degrees Celsius;�C;_I009_soil_temperature_2;The datastream containing mesures of field  by sensor I009 which measures Soil Temperature.
Italy;;Sensors owned by UNISS;;;I009;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E240;soil_temperature_3;Soil Temperature;The measure of temperature of the soil;Degrees Celsius;�C;_I009_soil_temperature_3;The datastream containing mesures of field  by sensor I009 which measures Soil Temperature.
Italy;;Sensors owned by UNISS;;;I009;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E240;soil_temperature_4;Soil Temperature;The measure of temperature of the soil;Degrees Celsius;�C;_I009_soil_temperature_4;The datastream containing mesures of field  by sensor I009 which measures Soil Temperature.
Italy;;Sensors owned by UNISS;;;I009;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E240;soil_temperature_5;Soil Temperature;The measure of temperature of the soil;Degrees Celsius;�C;_I009_soil_temperature_5;The datastream containing mesures of field  by sensor I009 which measures Soil Temperature.
Italy;;Sensors owned by UNISS;;;I009;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E240;soil_temperature_6;Soil Temperature;The measure of temperature of the soil;Degrees Celsius;�C;_I009_soil_temperature_6;The datastream containing mesures of field  by sensor I009 which measures Soil Temperature.
Italy;;Sensors owned by UNISS;;;I010;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E312;soil_moisture_1;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;_I010_soil_moisture_1;The datastream containing mesures of field  by sensor I010 which measures Soil Moisture.
Italy;;Sensors owned by UNISS;;;I010;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E312;soil_moisture_2;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;_I010_soil_moisture_2;The datastream containing mesures of field  by sensor I010 which measures Soil Moisture.
Italy;;Sensors owned by UNISS;;;I010;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E312;soil_moisture_3;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;_I010_soil_moisture_3;The datastream containing mesures of field  by sensor I010 which measures Soil Moisture.
Italy;;Sensors owned by UNISS;;;I010;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E312;soil_moisture_4;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;_I010_soil_moisture_4;The datastream containing mesures of field  by sensor I010 which measures Soil Moisture.
Italy;;Sensors owned by UNISS;;;I010;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E312;soil_moisture_5;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;_I010_soil_moisture_5;The datastream containing mesures of field  by sensor I010 which measures Soil Moisture.
Italy;;Sensors owned by UNISS;;;I010;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E312;soil_moisture_6;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;_I010_soil_moisture_6;The datastream containing mesures of field  by sensor I010 which measures Soil Moisture.
Italy;;Sensors owned by UNISS;;;I010;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E312;ambient_temperature;Air Temperature;The measure of the hotness or coldness of the air.;Degrees Celsius;�C;_I010_ambient_temperature;The datastream containing mesures of field  by sensor I010 which measures Air Temperature.
Italy;;Sensors owned by UNISS;;;I010;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E312;soil_temperature_1;Soil Temperature;The measure of temperature of the soil;Degrees Celsius;�C;_I010_soil_temperature_1;The datastream containing mesures of field  by sensor I010 which measures Soil Temperature.
Italy;;Sensors owned by UNISS;;;I010;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E312;soil_temperature_2;Soil Temperature;The measure of temperature of the soil;Degrees Celsius;�C;_I010_soil_temperature_2;The datastream containing mesures of field  by sensor I010 which measures Soil Temperature.
Italy;;Sensors owned by UNISS;;;I010;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E312;soil_temperature_3;Soil Temperature;The measure of temperature of the soil;Degrees Celsius;�C;_I010_soil_temperature_3;The datastream containing mesures of field  by sensor I010 which measures Soil Temperature.
Italy;;Sensors owned by UNISS;;;I010;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E312;soil_temperature_4;Soil Temperature;The measure of temperature of the soil;Degrees Celsius;�C;_I010_soil_temperature_4;The datastream containing mesures of field  by sensor I010 which measures Soil Temperature.
Italy;;Sensors owned by UNISS;;;I010;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E312;soil_temperature_5;Soil Temperature;The measure of temperature of the soil;Degrees Celsius;�C;_I010_soil_temperature_5;The datastream containing mesures of field  by sensor I010 which measures Soil Temperature.
Italy;;Sensors owned by UNISS;;;I010;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E312;soil_temperature_6;Soil Temperature;The measure of temperature of the soil;Degrees Celsius;�C;_I010_soil_temperature_6;The datastream containing mesures of field  by sensor I010 which measures Soil Temperature.
Jordan;z6-19947;Weather station in Jordan managed with ZentraCloud;35,6175472;32,1904695;z6-19947;A weather station in Jordan obtaining data from multiple sources;STATION;-;Air Temperature;Air Temperature;The measure of the hotness or coldness of the air.;Degrees Celsius;�C;z6-19947_z6-19947_Air_Temperature;The datastream containing mesures of field z6-19947 by sensor z6-19947 which measures Air Temperature.
Jordan;z6-19947;Weather station in Jordan managed with ZentraCloud;35,6175472;32,1904695;z6-19947;A weather station in Jordan obtaining data from multiple sources;STATION;-;Atmospheric Pressure;Atmospheric Pressure;The force exerted by the weight of the air above a given point on Earth's surface, which can vary with changes in weather and altitude.;Kilopascal;kPa;z6-19947_z6-19947_Atmospheric_Pressure;The datastream containing mesures of field z6-19947 by sensor z6-19947 which measures Atmospheric Pressure.
Jordan;z6-19947;Weather station in Jordan managed with ZentraCloud;35,6175472;32,1904695;z6-19947;A weather station in Jordan obtaining data from multiple sources;STATION;-;Battery Percent;Battery Level;The percentage of battery level associated to the specific sensor;Percentage;%;z6-19947_z6-19947_Battery_Percent;The datastream containing mesures of field z6-19947 by sensor z6-19947 which measures Battery Level.
Jordan;z6-19947;Weather station in Jordan managed with ZentraCloud;35,6175472;32,1904695;z6-19947;A weather station in Jordan obtaining data from multiple sources;STATION;-;Battery Voltage;Battery Voltage;The electrical potential in a battery, indicating its charge level.;Millivolts;mV;z6-19947_z6-19947_Battery_Voltage;The datastream containing mesures of field z6-19947 by sensor z6-19947 which measures Battery Voltage.
Jordan;z6-19947;Weather station in Jordan managed with ZentraCloud;35,6175472;32,1904695;z6-19947;A weather station in Jordan obtaining data from multiple sources;STATION;-;Gust Speed;Gust Speed;The maximum sudden burst of wind speed.;Meters per second;m/s;z6-19947_z6-19947_Gust_Speed;The datastream containing mesures of field z6-19947 by sensor z6-19947 which measures Gust Speed.
Jordan;z6-19947;Weather station in Jordan managed with ZentraCloud;35,6175472;32,1904695;z6-19947;A weather station in Jordan obtaining data from multiple sources;STATION;-;Lightning Activity;Lightning Activity;The occurrence of electrical discharges in the atmosphere, typically during thunderstorms.;N/A;N/A;z6-19947_z6-19947_Lightning_Activity;The datastream containing mesures of field z6-19947 by sensor z6-19947 which measures Lightning Activity.
Jordan;z6-19947;Weather station in Jordan managed with ZentraCloud;35,6175472;32,1904695;z6-19947;A weather station in Jordan obtaining data from multiple sources;STATION;-;Lightning Distance;Lightning Distance;The distance from a location to the nearest lightning strike.;Kilometers;km;z6-19947_z6-19947_Lightning_Distance;The datastream containing mesures of field z6-19947 by sensor z6-19947 which measures Lightning Distance.
Jordan;z6-19947;Weather station in Jordan managed with ZentraCloud;35,6175472;32,1904695;z6-19947;A weather station in Jordan obtaining data from multiple sources;STATION;-;Logger Temperature;Logger Temperature;The temperature measured by a data logger or recording device.;Degrees Celsius;�C;z6-19947_z6-19947_Logger_Temperature;The datastream containing mesures of field z6-19947 by sensor z6-19947 which measures Logger Temperature.
Jordan;z6-19947;Weather station in Jordan managed with ZentraCloud;35,6175472;32,1904695;z6-19947;A weather station in Jordan obtaining data from multiple sources;STATION;-;Max Precip Rate;Max Precipitation Rate;The highest rate at which rain or other forms of precipitation fall in a given period.;Millimeters per hour;mm/h;z6-19947_z6-19947_Max_Precip_Rate;The datastream containing mesures of field z6-19947 by sensor z6-19947 which measures Max Precipitation Rate.
Jordan;z6-19947;Weather station in Jordan managed with ZentraCloud;35,6175472;32,1904695;z6-19947;A weather station in Jordan obtaining data from multiple sources;STATION;-;Precipitation;Precipitation;Any form of water, liquid or solid, falling from the sky, such as rain, snow, or sleet.;Millimeters;mm;z6-19947_z6-19947_Precipitation;The datastream containing mesures of field z6-19947 by sensor z6-19947 which measures Precipitation.
Jordan;z6-19947;Weather station in Jordan managed with ZentraCloud;35,6175472;32,1904695;z6-19947;A weather station in Jordan obtaining data from multiple sources;STATION;-;RH Sensor Temp;RH Sensor Temp;The temperature at which a relative humidity sensor operates.;Degrees Celsius;�C;z6-19947_z6-19947_RH_Sensor_Temp;The datastream containing mesures of field z6-19947 by sensor z6-19947 which measures RH Sensor Temp.
Jordan;z6-19947;Weather station in Jordan managed with ZentraCloud;35,6175472;32,1904695;z6-19947;A weather station in Jordan obtaining data from multiple sources;STATION;-;Reference Pressure;Reference Pressure;A standard pressure value used as a basis for comparison in meteorology.;Kilopascal;kPa;z6-19947_z6-19947_Reference_Pressure;The datastream containing mesures of field z6-19947 by sensor z6-19947 which measures Reference Pressure.
Jordan;z6-19947;Weather station in Jordan managed with ZentraCloud;35,6175472;32,1904695;z6-19947;A weather station in Jordan obtaining data from multiple sources;STATION;-;Solar Radiation;Solar Radiation;Energy from the sun in the form of electromagnetic waves.;Watts per square meter;W/m�;z6-19947_z6-19947_Solar_Radiation;The datastream containing mesures of field z6-19947 by sensor z6-19947 which measures Solar Radiation.
Jordan;z6-19947;Weather station in Jordan managed with ZentraCloud;35,6175472;32,1904695;z6-19947;A weather station in Jordan obtaining data from multiple sources;STATION;-;Temperature;Temperature;The measure of the hotness or coldness of something.;Degrees Celsius;�C;z6-19947_z6-19947_Temperature;The datastream containing mesures of field z6-19947 by sensor z6-19947 which measures Temperature.
Jordan;z6-19947;Weather station in Jordan managed with ZentraCloud;35,6175472;32,1904695;z6-19947;A weather station in Jordan obtaining data from multiple sources;STATION;-;VPD;VPD;The difference between the amount of moisture in the air and the maximum amount of moisture the air can hold at a given temperature.;Kilopascal;kPa;z6-19947_z6-19947_VPD;The datastream containing mesures of field z6-19947 by sensor z6-19947 which measures VPD.
Jordan;z6-19947;Weather station in Jordan managed with ZentraCloud;35,6175472;32,1904695;z6-19947;A weather station in Jordan obtaining data from multiple sources;STATION;-;Vapor Pressure;Vapor Pressure;The pressure exerted by water vapor in the air.;Kilopascal;kPa;z6-19947_z6-19947_Vapor_Pressure;The datastream containing mesures of field z6-19947 by sensor z6-19947 which measures Vapor Pressure.
Jordan;z6-19947;Weather station in Jordan managed with ZentraCloud;35,6175472;32,1904695;z6-19947;A weather station in Jordan obtaining data from multiple sources;STATION;-;Wind Direction;Wind Direction;The compass direction from which the wind is blowing.;Degrees;�;z6-19947_z6-19947_Wind_Direction;The datastream containing mesures of field z6-19947 by sensor z6-19947 which measures Wind Direction.
Jordan;z6-19947;Weather station in Jordan managed with ZentraCloud;35,6175472;32,1904695;z6-19947;A weather station in Jordan obtaining data from multiple sources;STATION;-;Wind Speed;Wind Speed;The rate at which the air is moving horizontally, often measured in miles per hour or meters per second.;Meters per second;m/s;z6-19947_z6-19947_Wind_Speed;The datastream containing mesures of field z6-19947 by sensor z6-19947 which measures Wind Speed.
Jordan;z6-19947;Weather station in Jordan managed with ZentraCloud;35,6175472;32,1904695;z6-19947;A weather station in Jordan obtaining data from multiple sources;STATION;-;X-axis Level;X-axis Level;The position or value along the horizontal axis of a graph or coordinate system.;Degrees;�;z6-19947_z6-19947_X-axis_Level;The datastream containing mesures of field z6-19947 by sensor z6-19947 which measures X-axis Level.
Jordan;z6-19947;Weather station in Jordan managed with ZentraCloud;35,6175472;32,1904695;z6-19947;A weather station in Jordan obtaining data from multiple sources;STATION;-;Y-axis Level;Y-axis Level;The position or value along the vertical axis of a graph or coordinate system.;Degrees;�;z6-19947_z6-19947_Y-axis_Level;The datastream containing mesures of field z6-19947 by sensor z6-19947 which measures Y-axis Level.
Jordan;z6-19948;Weather station in Jordan managed with ZentraCloud;35,5688222;31,9277582;z6-19948;A weather station in Jordan obtaining data from multiple sources;STATION;-;Air Temperature;Air Temperature;The measure of the hotness or coldness of the air.;Degrees Celsius;�C;z6-19948_z6-19948_Air_Temperature;The datastream containing mesures of field z6-19948 by sensor z6-19948 which measures Air Temperature.
Jordan;z6-19948;Weather station in Jordan managed with ZentraCloud;35,5688222;31,9277582;z6-19948;A weather station in Jordan obtaining data from multiple sources;STATION;-;Atmospheric Pressure;Atmospheric Pressure;The force exerted by the weight of the air above a given point on Earth's surface, which can vary with changes in weather and altitude.;Kilopascal;kPa;z6-19948_z6-19948_Atmospheric_Pressure;The datastream containing mesures of field z6-19948 by sensor z6-19948 which measures Atmospheric Pressure.
Jordan;z6-19948;Weather station in Jordan managed with ZentraCloud;35,5688222;31,9277582;z6-19948;A weather station in Jordan obtaining data from multiple sources;STATION;-;Battery Percent;Battery Level;The percentage of battery level associated to the specific sensor;Percentage;%;z6-19948_z6-19948_Battery_Percent;The datastream containing mesures of field z6-19948 by sensor z6-19948 which measures Battery Level.
Jordan;z6-19948;Weather station in Jordan managed with ZentraCloud;35,5688222;31,9277582;z6-19948;A weather station in Jordan obtaining data from multiple sources;STATION;-;Battery Voltage;Battery Voltage;The electrical potential in a battery, indicating its charge level.;Millivolts;mV;z6-19948_z6-19948_Battery_Voltage;The datastream containing mesures of field z6-19948 by sensor z6-19948 which measures Battery Voltage.
Jordan;z6-19948;Weather station in Jordan managed with ZentraCloud;35,5688222;31,9277582;z6-19948;A weather station in Jordan obtaining data from multiple sources;STATION;-;Gust Speed;Gust Speed;The maximum sudden burst of wind speed.;Meters per second;m/s;z6-19948_z6-19948_Gust_Speed;The datastream containing mesures of field z6-19948 by sensor z6-19948 which measures Gust Speed.
Jordan;z6-19948;Weather station in Jordan managed with ZentraCloud;35,5688222;31,9277582;z6-19948;A weather station in Jordan obtaining data from multiple sources;STATION;-;Lightning Activity;Lightning Activity;The occurrence of electrical discharges in the atmosphere, typically during thunderstorms.;N/A;N/A;z6-19948_z6-19948_Lightning_Activity;The datastream containing mesures of field z6-19948 by sensor z6-19948 which measures Lightning Activity.
Jordan;z6-19948;Weather station in Jordan managed with ZentraCloud;35,5688222;31,9277582;z6-19948;A weather station in Jordan obtaining data from multiple sources;STATION;-;Lightning Distance;Lightning Distance;The distance from a location to the nearest lightning strike.;Kilometers;km;z6-19948_z6-19948_Lightning_Distance;The datastream containing mesures of field z6-19948 by sensor z6-19948 which measures Lightning Distance.
Jordan;z6-19948;Weather station in Jordan managed with ZentraCloud;35,5688222;31,9277582;z6-19948;A weather station in Jordan obtaining data from multiple sources;STATION;-;Logger Temperature;Logger Temperature;The temperature measured by a data logger or recording device.;Degrees Celsius;�C;z6-19948_z6-19948_Logger_Temperature;The datastream containing mesures of field z6-19948 by sensor z6-19948 which measures Logger Temperature.
Jordan;z6-19948;Weather station in Jordan managed with ZentraCloud;35,5688222;31,9277582;z6-19948;A weather station in Jordan obtaining data from multiple sources;STATION;-;Max Precip Rate;Max Precipitation Rate;The highest rate at which rain or other forms of precipitation fall in a given period.;Millimeters per hour;mm/h;z6-19948_z6-19948_Max_Precip_Rate;The datastream containing mesures of field z6-19948 by sensor z6-19948 which measures Max Precipitation Rate.
Jordan;z6-19948;Weather station in Jordan managed with ZentraCloud;35,5688222;31,9277582;z6-19948;A weather station in Jordan obtaining data from multiple sources;STATION;-;Precipitation;Precipitation;Any form of water, liquid or solid, falling from the sky, such as rain, snow, or sleet.;Millimeters;mm;z6-19948_z6-19948_Precipitation;The datastream containing mesures of field z6-19948 by sensor z6-19948 which measures Precipitation.
Jordan;z6-19948;Weather station in Jordan managed with ZentraCloud;35,5688222;31,9277582;z6-19948;A weather station in Jordan obtaining data from multiple sources;STATION;-;RH Sensor Temp;RH Sensor Temp;The temperature at which a relative humidity sensor operates.;Degrees Celsius;�C;z6-19948_z6-19948_RH_Sensor_Temp;The datastream containing mesures of field z6-19948 by sensor z6-19948 which measures RH Sensor Temp.
Jordan;z6-19948;Weather station in Jordan managed with ZentraCloud;35,5688222;31,9277582;z6-19948;A weather station in Jordan obtaining data from multiple sources;STATION;-;Reference Pressure;Reference Pressure;A standard pressure value used as a basis for comparison in meteorology.;Kilopascal;kPa;z6-19948_z6-19948_Reference_Pressure;The datastream containing mesures of field z6-19948 by sensor z6-19948 which measures Reference Pressure.
Jordan;z6-19948;Weather station in Jordan managed with ZentraCloud;35,5688222;31,9277582;z6-19948;A weather station in Jordan obtaining data from multiple sources;STATION;-;Solar Radiation;Solar Radiation;Energy from the sun in the form of electromagnetic waves.;Watts per square meter;W/m�;z6-19948_z6-19948_Solar_Radiation;The datastream containing mesures of field z6-19948 by sensor z6-19948 which measures Solar Radiation.
Jordan;z6-19948;Weather station in Jordan managed with ZentraCloud;35,5688222;31,9277582;z6-19948;A weather station in Jordan obtaining data from multiple sources;STATION;-;Temperature;Temperature;The measure of the hotness or coldness of something.;Degrees Celsius;�C;z6-19948_z6-19948_Temperature;The datastream containing mesures of field z6-19948 by sensor z6-19948 which measures Temperature.
Jordan;z6-19948;Weather station in Jordan managed with ZentraCloud;35,5688222;31,9277582;z6-19948;A weather station in Jordan obtaining data from multiple sources;STATION;-;VPD;VPD;The difference between the amount of moisture in the air and the maximum amount of moisture the air can hold at a given temperature.;Kilopascal;kPa;z6-19948_z6-19948_VPD;The datastream containing mesures of field z6-19948 by sensor z6-19948 which measures VPD.
Jordan;z6-19948;Weather station in Jordan managed with ZentraCloud;35,5688222;31,9277582;z6-19948;A weather station in Jordan obtaining data from multiple sources;STATION;-;Vapor Pressure;Vapor Pressure;The pressure exerted by water vapor in the air.;Kilopascal;kPa;z6-19948_z6-19948_Vapor_Pressure;The datastream containing mesures of field z6-19948 by sensor z6-19948 which measures Vapor Pressure.
Jordan;z6-19948;Weather station in Jordan managed with ZentraCloud;35,5688222;31,9277582;z6-19948;A weather station in Jordan obtaining data from multiple sources;STATION;-;Wind Direction;Wind Direction;The compass direction from which the wind is blowing.;Degrees;�;z6-19948_z6-19948_Wind_Direction;The datastream containing mesures of field z6-19948 by sensor z6-19948 which measures Wind Direction.
Jordan;z6-19948;Weather station in Jordan managed with ZentraCloud;35,5688222;31,9277582;z6-19948;A weather station in Jordan obtaining data from multiple sources;STATION;-;Wind Speed;Wind Speed;The rate at which the air is moving horizontally, often measured in miles per hour or meters per second.;Meters per second;m/s;z6-19948_z6-19948_Wind_Speed;The datastream containing mesures of field z6-19948 by sensor z6-19948 which measures Wind Speed.
Jordan;z6-19948;Weather station in Jordan managed with ZentraCloud;35,5688222;31,9277582;z6-19948;A weather station in Jordan obtaining data from multiple sources;STATION;-;X-axis Level;X-axis Level;The position or value along the horizontal axis of a graph or coordinate system.;Degrees;�;z6-19948_z6-19948_X-axis_Level;The datastream containing mesures of field z6-19948 by sensor z6-19948 which measures X-axis Level.
Jordan;z6-19948;Weather station in Jordan managed with ZentraCloud;35,5688222;31,9277582;z6-19948;A weather station in Jordan obtaining data from multiple sources;STATION;-;Y-axis Level;Y-axis Level;The position or value along the vertical axis of a graph or coordinate system.;Degrees;�;z6-19948_z6-19948_Y-axis_Level;The datastream containing mesures of field z6-19948 by sensor z6-19948 which measures Y-axis Level.